,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
4068,30 Marine Crescent,30 Marine Crescent,1974,699 sqft,2,2,"S$ 385,000 ",S$ 550.79 psf,99-year Leasehold,HDB Apartment,1.3042259999999999,103.911165
4069,Sallim Road,Sallim Road,1991,"4800 sqft, 7731 sqft (land)",6,8,"S$ 10,800,000 ","S$ 1,396.97 psf",Freehold,Detached House,1.3261854706,103.8817404076
4070,72 Pasir Ris Street,Whitewater,2005,1141 sqft,3,3,"S$ 850,000 ",S$ 744.96 psf,99-year Leasehold,Executive Condominium,1.36283,103.96139
4071,475A Upper Serangoon Crescent,475A Upper Serangoon Crescent,2014,990 sqft,2,3,"S$ 680,000 ",S$ 686.87 psf,99-year Leasehold,HDB Apartment,1.376298,103.900221
4072,524A Pasir Ris Street 51,524A Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 525,000 ",S$ 524.48 psf,99-year Leasehold,HDB Apartment,1.371276,103.947714
4073,32 Marine Crescent,32 Marine Crescent,1974,818 sqft,2,2,"S$ 455,000 ",S$ 556.23 psf,99-year Leasehold,HDB Apartment,1.303182,103.9118085
4074,101 Hillview Rise,Kingsford Hillview Peak,2016,775 sqft,2,2,"S$ 1,199,999 ","S$ 1,548.39 psf",99-year Leasehold,Condominium,1.364787,103.7647665
4075,20 Margaret Dr,Margaret Ville,99-year Leasehold,1184 sqft,4,4,"S$ 1,950,000 ","S$ 1,646.96 psf",Apartment,New Project: 2021,1.3006945194,103.802435997
4076,23 Marina Way,Marina One Residences,2017,721 sqft,1,1,"S$ 1,580,000 ","S$ 2,191.40 psf",99-year Leasehold,Condominium,1.277226,103.8536955
4077,,Margaret Ville,99-year Leasehold,463 sqft,1,1,"S$ 996,633 ","S$ 2,152.56 psf",Condominium,New Project: 2021,,
4078,581A Upper Changi Road,Apollo Gardens,1984,2120 sqft,3,3,"S$ 2,080,000 ",S$ 981.13 psf,Freehold,Apartment,1.33236,103.94614
4079,17 Joo Seng Road,17 Joo Seng Road,1983,1141 sqft,2,3,"S$ 470,000 ",S$ 411.92 psf,99-year Leasehold,HDB Apartment,1.336158,103.881375
4080,310B Punggol Walk,310B Punggol Walk,2015,990 sqft,2,3,"S$ 558,888 ",S$ 564.53 psf,99-year Leasehold,HDB Apartment,1.409319,103.9008015
4081,11 Rambai Road,Sunshine Regency,2007,764 sqft,2,2,"S$ 920,000 ","S$ 1,204.19 psf",Freehold,Apartment,1.311579,103.9055535
4082,181 Tanjong Rhu Road,Sanctuary Green,2003,1593 sqft,4,3,"S$ 1,999,999 ","S$ 1,255.49 psf",99-year Leasehold,Condominium,1.295955,103.8716775
4083,238 Bukit Panjang Ring Road,238 Bukit Panjang Ring Road,1987,1571 sqft,3,4,"S$ 590,000 ",S$ 375.56 psf,99-year Leasehold,HDB Apartment,1.379799,103.7706615
4084,93 Whampoa Drive,93 Whampoa Drive,1973,699 sqft,1,3,"S$ 270,000 ",S$ 386.27 psf,99-year Leasehold,HDB Apartment,1.3222800000000001,103.854798
4085,271 Tampines Street 21,271 Tampines Street 21,1984,807 sqft,2,2,"S$ 355,000 ",S$ 439.90 psf,99-year Leasehold,HDB Apartment,1.3498109999999999,103.949577
4086,265B Compassvale Link,265B Compassvale Link,2006,990 sqft,2,3,"S$ 488,000 ",S$ 492.93 psf,99-year Leasehold,HDB Apartment,1.382139,103.8957435
4087,167 Moulmein Road,Mulberry Tree,2011,646 sqft,1,2,"S$ 1,288,000 ","S$ 1,993.81 psf",Freehold,Apartment,1.318131,103.8463245
4088,135 Pasir Ris Street 11,135 Pasir Ris Street 11,1993,1603 sqft,2,3,"S$ 660,000 ",S$ 411.73 psf,99-year Leasehold,HDB Apartment,1.364517,103.9575195
4089,80 Punggol Central,Parc Centros,2016,474 sqft,1,1,"S$ 620,000 ","S$ 1,308.02 psf",99-year Leasehold,Condominium,1.4100300000000001,103.90594
4090,30 Segar Road,Blossom Residences,2014,1109 sqft,4,3,"S$ 1,060,000 ",S$ 955.82 psf,99-year Leasehold,Executive Condominium,1.389348,103.770297
4091,54 Tanah Merah Kechil Avenue,Casa Merah,2009,1239 sqft,3,3,"S$ 1,550,000 ","S$ 1,251.01 psf",99-year Leasehold,Condominium,1.329651,103.945194
4092,344 River Valley Road,RV Altitude,Freehold,570 sqft,2,2,"S$ 1,522,000 ","S$ 2,670.18 psf",Condominium,New Project: 2022,1.29328,103.82615
4093,215 Bedok South Ave 1,Casafina,2000,2120 sqft,3,4,"S$ 1,880,000 ",S$ 886.79 psf,99-year Leasehold,Condominium,1.3146930000000001,103.9339755
4094,Slim Barracks Rise,One-north Residences,2009,1076 sqft,1,1,"S$ 1,480,000 ","S$ 1,375.46 psf",99-year Leasehold,Apartment,1.30318102,103.7897599145
4095,57 Sunrise Gardens,Sunrise Gardens,1998,2033 sqft,3,4,"S$ 1,550,000 ",S$ 762.42 psf,99-year Leasehold,Condominium,1.3892500501,103.8572699622
4096,24 Telok Blangah Crescent,24 Telok Blangah Crescent,1974,882 sqft,1,3,"S$ 390,000 ",S$ 442.18 psf,99-year Leasehold,HDB Apartment,1.275408,103.820661
4097,8 Empress Road,8 Empress Road,1975,700 sqft,1,2,"S$ 420,000 ",S$ 600.00 psf,99-year Leasehold,HDB Apartment,1.316412,103.8053745
4098,23 Marina Way,Marina One Residences,2017,1593 sqft,3,3,"S$ 3,540,000 ","S$ 2,222.22 psf",99-year Leasehold,Condominium,1.277226,103.8536955
4099,7 Marine Terrace,7 Marine Terrace,1974,635 sqft,1,2,"S$ 340,000 ",S$ 535.43 psf,99-year Leasehold,HDB Apartment,1.3041,103.917276
4100,37 Oxley Rise,Visioncrest,2007,947 sqft,2,2,"S$ 2,080,000 ","S$ 2,196.41 psf",Freehold,Apartment,1.297738296,103.8427374929
4101,15 Hougang Avenue 3,15 Hougang Avenue 3,1975,882 sqft,1,3,"S$ 325,000 ",S$ 368.48 psf,99-year Leasehold,HDB Apartment,1.362654,103.891923
4102,52 Hume Avenue,Summerhill,2003,947 sqft,2,2,"S$ 1,250,000 ","S$ 1,319.96 psf",Freehold,Condominium,1.358685,103.765725
4103,52 New Upper Changi Road,52 New Upper Changi Road,1976,904 sqft,2,3,"S$ 355,000 ",S$ 392.70 psf,99-year Leasehold,HDB Apartment,1.3239,103.942512
4104,146 Jalan Bukit Merah,146 Jalan Bukit Merah,1981,721 sqft,2,2,"S$ 355,000 ",S$ 492.37 psf,99-year Leasehold,HDB Apartment,1.2828,103.81786
4105,50 Amber Road,Amber Residences,2011,2217 sqft,4,4,"S$ 3,999,000 ","S$ 1,803.79 psf",Freehold,Apartment,1.301256,103.900914
4106,756 Choa Chu Kang North 5,756 Choa Chu Kang North 5,1994,1571 sqft,2,4,"S$ 569,999 ",S$ 362.83 psf,99-year Leasehold,HDB Apartment,1.38616,103.74618
4107,23 Dalvey Estate,D'dalvey,2005,1701 sqft,3,3,"S$ 3,000,000 ","S$ 1,763.67 psf",Freehold,Apartment,1.321218,103.821651
4108,371 Beach Road,City Gate,2019,570 sqft,1,2,"S$ 1,230,000 ","S$ 2,157.89 psf",99-year Leasehold,Apartment,1.30442,103.8617
4109,,Jalan Loyang Besar,2001,"3400 sqft, 1614 sqft (land)",6,7,"S$ 1,728,000 ","S$ 1,070.63 psf",99-year Leasehold,Terraced House,,
4110,2 Jalan Lempeng,Parc Clematis,99-year Leasehold,1238 sqft,3,4,"S$ 1,960,000 ","S$ 1,583.20 psf",Condominium,New Project: 2023,1.3172760000000001,103.7598255
