,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
4111,262 Joo Chiat Place,Parc Bleu,2013,527 sqft,1,1,"S$ 649,000 ","S$ 1,231.50 psf",Freehold,Condominium,,
4112,2 Hillview Rise,The Hillier,2016,624 sqft,1,1,"S$ 860,000 ","S$ 1,378.21 psf",99-year Leasehold,Condominium,1.363932,103.764582
4113,475D Upper Serangoon Crescent,475D Upper Serangoon Crescent,2014,1206 sqft,2,4,"S$ 828,000 ",S$ 686.57 psf,99-year Leasehold,HDB Apartment,1.375182,103.9004055
4114,56 Lorong 8 Geylang,Aston Lodge,1997,807 sqft,2,2,"S$ 900,000 ","S$ 1,115.24 psf",Freehold,Apartment,1.31013,103.8770775
4115,Serangoon North Avenue 1,Affinity At Serangoon,99-year Leasehold,474 sqft,1,1,"S$ 600,000 ","S$ 1,265.82 psf",Condominium,New Project: 2024,1.369674,103.8709055722
4116,10 Gopeng Street,Icon,2007,883 sqft,1,1,"S$ 1,199,999 ","S$ 1,359.00 psf",99-year Leasehold,Apartment,1.2751649999999999,103.844538
4117,,15 holland hill,2022,1292 sqft,3,2,"S$ 3,617,000 ","S$ 2,799.54 psf",Freehold,Condominium,,
4118,28 Balmoral park,Pinetree Condo,1996,1168 sqft,3,3,"S$ 1,980,000 ","S$ 1,695.21 psf",Freehold,Condominium,1.315062,103.8292785
4119,Lorong 4 / Lorong 6 Toa Payoh,Gem Residences,99-year Leasehold,947 sqft,2,3,"S$ 1,894,000 ","S$ 2,000.00 psf",Condominium,New Project: 2020,1.33448,103.85108
4120,449 Ang Mo Kio Avenue 10,449 Ang Mo Kio Avenue 10,1979,1012 sqft,2,3,"S$ 366,000 ",S$ 361.66 psf,99-year Leasehold,HDB Apartment,1.380132,103.8293685
4121,82 Elias Road,Stratum,2016,894 sqft,2,2,"S$ 850,000 ",S$ 950.78 psf,99-year Leasehold,Condominium,1.3788719999999999,103.943574
4122,72 Upper Serangoon View,Kingsford Waterbay,2018,474 sqft,1,1,"S$ 625,000 ","S$ 1,318.57 psf",99-year Leasehold,Condominium,1.374372,103.9034835
4123,72 Compassvale Bow,Sengkang Grand Residences,99-year Leasehold,764 sqft,2,2,"S$ 1,238,000 ","S$ 1,620.42 psf",Condominium,New Project: 2023,1.39735,103.89688
4124,23 Marina Way,Marina One Residences,2017,1593 sqft,2,3,"S$ 3,564,000 ","S$ 2,237.29 psf",99-year Leasehold,Apartment,1.277226,103.8536955
4125,9 Alexandra View,Echelon,2016,861 sqft,2,3,"S$ 1,688,888 ","S$ 1,961.54 psf",99-year Leasehold,Condominium,1.290591,103.8177315
4126,49 Dorset Road,49 Dorset Road,1978,721 sqft,2,2,"S$ 398,000 ",S$ 552.01 psf,99-year Leasehold,HDB Apartment,1.31247,103.850055
4127,5A Shenton Way,V On Shenton,2017,721 sqft,1,1,"S$ 1,900,000 ","S$ 2,635.23 psf",99-year Leasehold,Condominium,1.2771,103.849191
4128,23 Marina Way,Marina One Residences,2017,1044 sqft,2,2,"S$ 2,402,670 ","S$ 2,301.41 psf",99-year Leasehold,Condominium,1.277226,103.8536955
4129,Canberra Walk,Parc Canberra,2023,818 sqft,2,3,"S$ 902,000 ","S$ 1,102.69 psf",99-year Leasehold,Condominium,,
4130,Chiltern Drive / Braddel Heights Estate,⭐Posh Bungalow⭐ Not To Be Missed!,2013,"10000 sqft, 5300 sqft (land)",7,7,"S$ 8,800,000 ","S$ 1,660.38 psf",Freehold,Detached House,1.3487494908,103.8633941932
4131,115 Compassvale Bow,Esparina Residences,2014,1001 sqft,2,3,"S$ 1,130,000 ","S$ 1,128.87 psf",99-year Leasehold,Executive Condominium,1.39735,103.89688
4132,62 Lorong 4 Toa Payoh,62 Lorong 4 Toa Payoh,1998,1291 sqft,2,3,"S$ 920,000 ",S$ 712.63 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
4133,Loyang Rise,Loyang Villas,1997,"2580 sqft, 2034 sqft (land)",5,5,"S$ 1,850,000 ",S$ 909.54 psf,99-year Leasehold,Terraced House,1.37784007,103.9561600294
4134,8 Rivervale Link,Park Green,2005,1356 sqft,3,3,"S$ 1,150,000 ",S$ 848.08 psf,99-year Leasehold,Condominium,1.380303,103.90041
4135,453C Fernvale Road,453C Fernvale Road,2014,988 sqft,2,3,"S$ 450,000 ",S$ 455.47 psf,99-year Leasehold,HDB Apartment,1.393533,103.87503
4136,110A Punggol Field,110A Punggol Field,2001,1184 sqft,2,3,"S$ 430,000 ",S$ 363.18 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
4137,479 Jurong West Street 41,479 Jurong West Street 41,1984,980 sqft,2,3,"S$ 350,000 ",S$ 357.14 psf,99-year Leasehold,HDB Apartment,1.347201,103.7245005
4138,450 Jurong West Street 42,450 Jurong West Street 42,1984,1152 sqft,2,3,"S$ 380,000 ",S$ 329.86 psf,99-year Leasehold,HDB Apartment,1.351638,103.7175255
4139,11 Fernvale Close,Riverbank @ Fernvale,2017,1044 sqft,3,3,"S$ 1,280,000 ","S$ 1,226.05 psf",99-year Leasehold,Condominium,1.394595,103.8811185
4140,900 Dunearn Road,The Blossomvale,1999,1432 sqft,3,3,"S$ 2,380,000 ","S$ 1,662.01 psf",999-year Leasehold,Condominium,1.29329,103.77292
4141,10 Jurong Lake Link,Lake Grande,99-year Leasehold,517 sqft,1,2,"S$ 890,000 ","S$ 1,721.47 psf",Condominium,New Project: 2020,1.3419400000000001,103.72639
4142,331 Choa Chu Kang Avenue 3,The Rainforest,2015,1141 sqft,2,3,"S$ 1,300,000 ","S$ 1,139.35 psf",99-year Leasehold,Executive Condominium,1.384137,103.7493675
4143,Fernvale Street,Parc Botannia,99-year Leasehold,667 sqft,2,2,"S$ 986,000 ","S$ 1,478.26 psf",Condominium,New Project: 2021,1.3984371157,103.8791024531
4144,707 Clementi West Street 2,707 Clementi West Street 2,1979,980 sqft,2,3,"S$ 350,000 ",S$ 357.14 psf,99-year Leasehold,HDB Apartment,1.3062960000000001,103.762404
4145,5 Saint George's Lane,5 Saint George's Lane,1980,725 sqft,2,2,"S$ 380,000 ",S$ 524.14 psf,99-year Leasehold,HDB Apartment,1.323189,103.8596985
4146,27 Tampines Street 34,The Eden @ Tampines,2003,1249 sqft,3,3,"S$ 1,000,000 ",S$ 800.64 psf,99-year Leasehold,Condominium,1.355076,103.960404
4147,669A Jurong West Street 64,669A Jurong West Street 64,1998,130 sqft,2,4,"S$ 529,000 ","S$ 4,069.23 psf",99-year Leasehold,HDB Apartment,1.3428900000000001,103.7031345
4148,308 Telok Kurau Road,Vibes @ East Coast,2015,420 sqft,1,1,"S$ 658,888 ","S$ 1,568.78 psf",Freehold,Apartment,,
4149,103 West Coast Vale,Parc Riviera,99-year Leasehold,990 sqft,3,4,"S$ 1,396,800 ","S$ 1,410.91 psf",Condominium,New Project: 2020,1.31152007,103.7596300039
4150,906 Jurong West Street 91,906 Jurong West Street 91,1988,1517 sqft,2,4,"S$ 480,000 ",S$ 316.41 psf,99-year Leasehold,HDB Apartment,1.34145,103.6867
4151,808 Woodlands Street 81,808 Woodlands Street 81,1994,2067 sqft,3,5,"S$ 900,000 ",S$ 435.41 psf,99-year Leasehold,HDB Apartment,1.442277,103.7869155
4152,27A Jalan Membina,27A Jalan Membina,2007,915 sqft,2,3,"S$ 788,000 ",S$ 861.20 psf,99-year Leasehold,HDB Apartment,,
4153,8 Dover Rise,Heritage View,2000,969 sqft,2,2,"S$ 1,288,888 ","S$ 1,330.12 psf",99-year Leasehold,Condominium,1.304415,103.783464
4154,53 Lorong 5 Toa Payoh,53 Lorong 5 Toa Payoh,1967,732 sqft,2,3,"S$ 268,000 ",S$ 366.12 psf,99-year Leasehold,HDB Apartment,1.33753,103.85083
4155,21 Rosewood Drive,Casablanca,2006,948 sqft,2,2,"S$ 745,000 ",S$ 785.86 psf,99-year Leasehold,Condominium,1.430532,103.785534
4156,53 Lorong 5 Toa Payoh,53 Lorong 5 Toa Payoh,1967,732 sqft,1,2,"S$ 269,999 ",S$ 368.85 psf,99-year Leasehold,HDB Apartment,1.33753,103.85083
4157,12 Simei Street 1,Melville Park,1996,1313 sqft,3,3,"S$ 996,000 ",S$ 758.57 psf,99-year Leasehold,Apartment,1.348074,103.958784
4158,318 Anchorvale Ln,Rivercove Residences Ec,99-year Leasehold,1055 sqft,3,3,"S$ 900,500 ",S$ 853.55 psf,Condominium,New Project: 2020,1.3923139647,103.8845427136
4159,80 Flora Road,Edelweiss Park Condo,2006,1280 sqft,3,3,"S$ 1,180,000 ",S$ 921.88 psf,Freehold,Condominium,1.3571010000000001,103.9671495
4160,81 Yishun Street 81,Orchid Park Condo,1994,893 sqft,3,2,"S$ 654,000 ",S$ 732.36 psf,99-year Leasehold,Condominium,1.413414,103.835268
4161,11A Toh Tuck Road,Daintree Residence,99-year Leasehold,667 sqft,2,2,"S$ 1,085,530 ","S$ 1,627.48 psf",Apartment,New Project: 2021,,
4162,37 Jalan Rumah Tinggi,37 Jalan Rumah Tinggi,1963,571 sqft,1,2,"S$ 250,000 ",S$ 437.83 psf,99-year Leasehold,HDB Apartment,1.28808,103.80926
4163,311C Clementi Avenue 4,311C Clementi Avenue 4,2015,861 sqft,2,3,"S$ 760,000 ",S$ 882.69 psf,99-year Leasehold,HDB Apartment,1.3201019999999999,103.765572
4164,Seletar Green Walk,Luxus Hills,2012,"3703 sqft, 1644 sqft (land)",5,5,"S$ 3,368,000 ","S$ 2,048.66 psf",999-year Leasehold,Terraced House,1.3801954212,103.8750908059
4165,SENGKANG GRAND RESIDENCES,Sengkang Grand Residences,2023,474 sqft,1,1,"S$ 829,600 ","S$ 1,750.21 psf",99-year Leasehold,Condominium,1.31712,103.91027
4166,7 Keppel Bay View,Reflections @ Keppel Bay,2013,1830 sqft,4,3,"S$ 3,280,000 ","S$ 1,792.35 psf",99-year Leasehold,Condominium,1.266822,103.813299
4167,34 Lorong Mydin,Astoria Park,1995,1313 sqft,2,3,"S$ 1,380,000 ","S$ 1,051.03 psf",99-year Leasehold,Condominium,1.31913,103.91174
4168,33 Rochester Drive,The Rochester,2011,1679 sqft,3,3,"S$ 2,200,000 ","S$ 1,310.30 psf",99-year Leasehold,Apartment,1.3060227899,103.7886573811
4169,262B Compassvale Street,262B Compassvale Street,2000,1399 sqft,2,4,"S$ 628,000 ",S$ 448.89 psf,99-year Leasehold,HDB Apartment,1.395099,103.895469
4170,221 Queensway,Viz @ Holland,2008,947 sqft,2,3,"S$ 1,678,000 ","S$ 1,771.91 psf",Freehold,Condominium,1.3043900000000002,103.80169
4171,371 Beach Road,City Gate,2019,710 sqft,2,2,"S$ 1,600,000 ","S$ 2,253.52 psf",99-year Leasehold,Apartment,1.30442,103.8617
4172,618B Punggol Drive,618B Punggol Drive,2011,1269 sqft,2,3,"S$ 688,000 ",S$ 542.16 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
4173,723 Jurong West Avenue 5,723 Jurong West Avenue 5,1990,1300 sqft,2,4,"S$ 405,000 ",S$ 311.54 psf,99-year Leasehold,HDB Apartment,1.344465,103.6981665
4174,461 Segar Road,461 Segar Road,2014,1001 sqft,2,3,"S$ 455,000 ",S$ 454.55 psf,99-year Leasehold,HDB Apartment,1.386972,103.771278
4175,153 Bishan Street 13,153 Bishan Street 13,1987,1281 sqft,2,3,"S$ 650,000 ",S$ 507.42 psf,99-year Leasehold,HDB Apartment,1.346094,103.855077
4176,748C Bedok Reservoir Crescent,748C Bedok Reservoir Crescent,2014,1130 sqft,2,3,"S$ 850,000 ",S$ 752.21 psf,99-year Leasehold,HDB Apartment,1.336158,103.9214925
4177,Ocean Drive,Sentosa Cove,2011,"5500 sqft, 9580 sqft (land)",6,5,"S$ 15,500,000 ","S$ 1,617.95 psf",99-year Leasehold,Detached House,1.28626,103.84244
4178,71 Yishun Avenue 11,The Canopy,2014,872 sqft,2,2,"S$ 780,000 ",S$ 894.50 psf,99-year Leasehold,Executive Condominium,1.423854,103.8480795
4179,36 Lorong Mydin,Astoria Park,1995,850 sqft,2,2,"S$ 999,000 ","S$ 1,175.29 psf",99-year Leasehold,Condominium,1.31913,103.91174
4180,6 Dover Rise,Heritage View,2000,1163 sqft,2,3,"S$ 1,600,000 ","S$ 1,375.75 psf",99-year Leasehold,Condominium,1.3037130000000001,103.78386
4181,83 Flora Drive,Hedges Park Condo,2015,765 sqft,2,2,"S$ 800,000 ","S$ 1,045.75 psf",99-year Leasehold,Condominium,1.355157,103.9678425
4182,142 Race Course Road,Ritz @ Farrer,2016,797 sqft,2,3,"S$ 1,120,000 ","S$ 1,405.27 psf",Freehold,Apartment,1.31122,103.85281
4183,52 Bukit Batok East Avenue 5,Regent Heights,1999,1023 sqft,3,2,"S$ 828,000 ",S$ 809.38 psf,99-year Leasehold,Condominium,1.352403,103.7559825
4184,735 Yishun Street 72,735 Yishun Street 72,1984,882 sqft,2,2,"S$ 288,000 ",S$ 326.53 psf,99-year Leasehold,HDB Apartment,1.4289209999999999,103.8312405
4185,10 Gopeng Street,Icon,2007,786 sqft,1,1,"S$ 1,280,000 ","S$ 1,628.50 psf",99-year Leasehold,Apartment,1.2751649999999999,103.844538
4186,7 Pasir Ris Link,Seastrand,2014,883 sqft,2,2,"S$ 878,000 ",S$ 994.34 psf,99-year Leasehold,Condominium,1.376082,103.9610385
4187,30 Jalan Kemaman,Neem Tree,Freehold,1163 sqft,2,3,"S$ 2,024,000 ","S$ 1,740.33 psf",Apartment,New Project: 2020,1.327338,103.851477
4188,25 Fernvale Close,Rivertrees Residences,2018,581 sqft,1,2,"S$ 739,000 ","S$ 1,271.94 psf",99-year Leasehold,Apartment,1.393848,103.8805155
4189,665C Punggol Drive,665C Punggol Drive,2015,1001 sqft,2,3,"S$ 560,000 ",S$ 559.44 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
4190,21 Jervois Road,Jervois View,1986,2475 sqft,3,3,"S$ 4,188,000 ","S$ 1,692.12 psf",Freehold,Apartment,1.29375,103.82418
4191,1 Bishan Street 15,Sky Vue,2017,1141 sqft,3,3,"S$ 2,108,000 ","S$ 1,847.50 psf",99-year Leasehold,Condominium,1.352313,103.850721
4192,70 Shenton Way,Eon Shenton,99-year Leasehold,754 sqft,2,3,"S$ 2,000,000 ","S$ 2,652.52 psf",Condominium,New Project: 2019,1.273878,103.84623
4193,149 Bishan Street 11,149 Bishan Street 11,1986,1302 sqft,2,3,"S$ 660,000 ",S$ 506.91 psf,99-year Leasehold,HDB Apartment,1.344276,103.855554
4194,50 Choa Chu Kang North 6,Yew Mei Green,2000,1130 sqft,2,3,"S$ 880,000 ",S$ 778.76 psf,99-year Leasehold,Condominium,1.38616,103.74618
4195,6 Draycott Park,Draycott Eight,2006,2863 sqft,3,4,"S$ 5,850,000 ","S$ 2,043.31 psf",99-year Leasehold,Condominium,1.31058,103.831884
4196,517 Pasir Ris Street 52,517 Pasir Ris Street 52,1993,1388 sqft,2,3,"S$ 575,000 ",S$ 414.27 psf,99-year Leasehold,HDB Apartment,1.3746779999999998,103.9438485
4197,26 Newton Road Singapore,26 Newton,2016,1539 sqft,2,2,"S$ 3,460,000 ","S$ 2,248.21 psf",Freehold,Condominium,1.315701,103.8416085
4198,12B Hougang Street 11,The Minton,2014,710 sqft,1,1,"S$ 783,000 ","S$ 1,102.82 psf",99-year Leasehold,Condominium,1.352862,103.881483
4199,commonwealth Avenue,Commonwealth Towers,2017,474 sqft,1,1,"S$ 870,000 ","S$ 1,835.44 psf",99-year Leasehold,Condominium,1.307697712,103.7916296309
4200,143 Killiney Road,The Boutiq @ Killiney,2014,506 sqft,1,1,"S$ 1,180,000 ","S$ 2,332.02 psf",Freehold,Condominium,1.296603,103.838841
4201,260B Punggol Way,260B Punggol Way,2014,1001 sqft,2,3,"S$ 475,000 ",S$ 474.53 psf,99-year Leasehold,HDB Apartment,1.404882,103.896351
4202,11 Sengkang East Avenue,Austville Residences,2014,786 sqft,2,2,"S$ 750,000 ",S$ 954.20 psf,99-year Leasehold,Executive Condominium,1.380969,103.900833
4203,21 McCallum Street,The Clift,2011,527 sqft,1,1,"S$ 1,250,000 ","S$ 2,371.92 psf",99-year Leasehold,Apartment,1.279395,103.8473325
4204,Serangoon North Avenue 1,Affinity At Serangoon,99-year Leasehold,624 sqft,2,2,"S$ 989,000 ","S$ 1,584.94 psf",Condominium,New Project: 2024,1.369674,103.8709055722
4205,246 Telok Kurau Road,Residence Twenty-two,Freehold,1216 sqft,2,3,"S$ 1,982,000 ","S$ 1,629.93 psf",Condominium,New Project: 2021,,
4206,51 Compassvale Bow,The Quartz,2010,1077 sqft,3,3,"S$ 1,168,000 ","S$ 1,084.49 psf",99-year Leasehold,Condominium,1.39735,103.89688
4207,,Kaleido,2017,3208 sqft,6,5,"S$ 3,368,000 ","S$ 1,049.88 psf",Freehold,Corner Terrace,,
4208,2 Sembawang Walk,Springhill,2008,3046 sqft,5,5,"S$ 1,580,000 ",S$ 518.71 psf,99-year Leasehold,Terraced House,1.440702,103.8233205
4209,330 Yishun Ring Road,330 Yishun Ring Road,1994,1119 sqft,2,3,"S$ 348,000 ",S$ 310.99 psf,99-year Leasehold,HDB Apartment,1.43621,103.83582
4210,343 Choa Chu Kang Avenue 3,The Rainforest,2015,948 sqft,2,3,"S$ 900,000 ",S$ 949.37 psf,99-year Leasehold,Executive Condominium,1.3833,103.748589
4211,451 Upper East Coast Road,The Summit,1994,1507 sqft,3,3,"S$ 1,850,000 ","S$ 1,227.60 psf",Freehold,Condominium,1.31283,103.92608
4212,712A Upper Changi Road East,Changi Green,2001,1216 sqft,2,3,"S$ 1,350,000 ","S$ 1,110.20 psf",Freehold,Condominium,1.344492,103.9642605
4213,93 Pasir Ris Grove,Nv Residences,2013,2497 sqft,6,6,"S$ 2,088,888 ",S$ 836.56 psf,99-year Leasehold,Condominium,1.370916,103.943898
4214,211 Jurong East Street 21,211 Jurong East Street 21,1982,721 sqft,2,2,"S$ 325,000 ",S$ 450.76 psf,99-year Leasehold,HDB Apartment,1.3386689999999999,103.740291
4215,87 Pasir Ris Grove,Nv Residences,2013,904 sqft,2,3,"S$ 950,000 ","S$ 1,050.88 psf",99-year Leasehold,Condominium,1.371861,103.9438485
4216,2 Sinaran Drive,Soleil @ Sinaran,2012,4715 sqft,6,5,"S$ 8,699,999 ","S$ 1,845.17 psf",99-year Leasehold,Condominium,1.319436,103.8450555
4217,296 Beach Road,Concourse Skyline,2012,797 sqft,1,1,"S$ 1,450,000 ","S$ 1,819.32 psf",99-year Leasehold,Condominium,1.30442,103.8617
4218,371 Beach Road,City Gate,2019,431 sqft,1,1,"S$ 1,250,000 ","S$ 2,900.23 psf",99-year Leasehold,Apartment,1.30442,103.8617
4219,23 Marina Way,Marina One Residences,2017,700 sqft,1,1,"S$ 1,635,000 ","S$ 2,335.71 psf",99-year Leasehold,Condominium,1.277226,103.8536955
4220,Alexandra View,Alex Residences,2017,1023 sqft,3,3,"S$ 1,900,000 ","S$ 1,857.28 psf",99-year Leasehold,Apartment,1.290527695,103.8165717508
4221,30 Sturdee Road,Kerrisdale,2006,1270 sqft,3,3,"S$ 1,500,000 ","S$ 1,181.10 psf",99-year Leasehold,Condominium,1.3131089999999999,103.85766
4222,97 Bedok North Avenue 4,97 Bedok North Avenue 4,1978,1291 sqft,2,3,"S$ 540,000 ",S$ 418.28 psf,99-year Leasehold,HDB Apartment,1.33668,103.9487
4223,788 Woodlands Avenue 6,788 Woodlands Avenue 6,1996,1538 sqft,2,3,"S$ 600,000 ",S$ 390.12 psf,99-year Leasehold,HDB Apartment,1.443249,103.80177
4224,83 Duku Road,Aura 83,2015,786 sqft,2,2,"S$ 1,140,000 ","S$ 1,450.38 psf",Freehold,Condominium,,
4225,929 Hougang Street 91,929 Hougang Street 91,1997,1076 sqft,2,3,"S$ 368,000 ",S$ 342.01 psf,99-year Leasehold,HDB Apartment,1.376028,103.8814965
4226,3 Central Boulevard,Marina Bay Suites,2014,1572 sqft,3,3,"S$ 3,600,000 ","S$ 2,290.08 psf",99-year Leasehold,Apartment,1.280349,103.852143
4227,1 Keppel Bay View,Reflections at Keppel Bay,2013,1527 sqft,3,3,"S$ 2,800,000 ","S$ 1,833.66 psf",99-year Leasehold,Condominium,1.268163,103.814379
4228,404B Fernvale Lane,404B Fernvale Lane,2003,1238 sqft,2,3,"S$ 413,000 ",S$ 333.60 psf,99-year Leasehold,HDB Apartment,1.388295,103.87354500000001
4229,548B Segar Road,548B Segar Road,2014,990 sqft,2,3,"S$ 430,000 ",S$ 434.34 psf,99-year Leasehold,HDB Apartment,1.38942,103.7685735
4230,23 Marina Way,Marina One Residences,2017,980 sqft,2,2,"S$ 2,275,000 ","S$ 2,321.43 psf",99-year Leasehold,Condominium,1.277226,103.8536955
4231,12 Keppel Bay Drive,Caribbean @ Keppel Bay,2004,2174 sqft,3,3,"S$ 2,980,000 ","S$ 1,370.75 psf",99-year Leasehold,Condominium,1.2665250000000001,103.816566
4232,2D Hong San Walk,Palm Gardens,2000,1205 sqft,3,3,"S$ 890,000 ",S$ 738.59 psf,99-year Leasehold,Condominium,1.37853,103.7474325
4233,1 Marymount Terrace,Boonview,2003,1292 sqft,3,3,"S$ 2,250,000 ","S$ 1,741.49 psf",Freehold,Condominium,1.351485,103.840857
4234,38 Scotts Road,The Scotts Tower,2016,850 sqft,2,2,"S$ 2,650,000 ","S$ 3,117.65 psf",103-year Leasehold,Condominium,1.3099859999999999,103.835493
4235,42 Everton Road,Sky Everton,Freehold,1109 sqft,2,3,"S$ 2,517,000 ","S$ 2,269.61 psf",Condominium,New Project: 2023,1.276011,103.838076
4236,16 Anderson Road,Nouvel 18,2014,1335 sqft,2,2,"S$ 4,100,000 ","S$ 3,071.16 psf",Freehold,Condominium,1.310841,103.8283245
4237,Lentor Street,Lentor Villas,2000,"4000 sqft, 3868 sqft (land)",6,5,"S$ 4,000,000 ","S$ 1,034.13 psf",Freehold,Corner Terrace,1.39036,103.83427
4238,21 Tampines Central 7,The Tampines Trilliant,2015,1001 sqft,2,3,"S$ 1,180,000 ","S$ 1,178.82 psf",99-year Leasehold,Executive Condominium,1.35026,103.93597
4239,175 Jalan Loyang Besar,Ocean Front Suites,2016,980 sqft,3,2,"S$ 1,050,000 ","S$ 1,071.43 psf",999-year Leasehold,Condominium,1.37497,103.97395
4240,Wilkinson Road,Within 1km Kong Hwa School 2. 5 STOREY NEWLY REBUILT DETACH WITH BASEMENT FOR SALE AT WILKINSON ROAD,2018,"7000 sqft, 5242 sqft (land)",5,8,"S$ 11,000,000 ","S$ 2,098.44 psf",Freehold,Detached House,,
4241,326 Changi Road,Tedge,Freehold,861 sqft,2,3,"S$ 1,380,000 ","S$ 1,602.79 psf",Condominium,New Project: 2022,1.31758,103.90582
4242,86 Lorong M Telok Kurau,The Seawind @ Telok Kurau,2015,646 sqft,1,1,"S$ 1,192,000 ","S$ 1,845.20 psf",Freehold,Condominium,,
4243,60 Zion Road,Zenith @ Zion,2011,1130 sqft,2,3,"S$ 1,800,000 ","S$ 1,592.92 psf",999-year Leasehold,Apartment,1.292598,103.830264
4244,24 GLASGOW ROAD,Isuites @ Palm,2013,430 sqft,1,1,"S$ 625,000 ","S$ 1,453.49 psf",999-year Leasehold,Condominium,1.3612229999999998,103.8785535
4245,Lorong Bandang,5 lorong Bandung,2019,"4674 sqft, 1661 sqft (land)",6,5,"S$ 4,200,000 ","S$ 2,528.60 psf",Freehold,Terraced House,1.314297,103.90959225
4246,2 Akyab Road,Zedge,2010,721 sqft,1,2,"S$ 1,250,000 ","S$ 1,733.70 psf",Freehold,Condominium,1.3224420000000001,103.848174
4247,51 Tampines Street 86,The Tapestry,99-year Leasehold,603 sqft,1,2,"S$ 798,000 ","S$ 1,323.38 psf",Condominium,New Project: 2021,1.3533607216,103.9294014901
4248,23 Nathan Road,Nathan Residences,2015,1227 sqft,2,2,"S$ 1,950,000 ","S$ 1,589.24 psf",Freehold,Condominium,1.294569,103.8272715
4249,149 Mei Ling Street,149 Mei Ling Street,1993,1528 sqft,2,3,"S$ 1,036,900 ",S$ 678.60 psf,99-year Leasehold,HDB Apartment,1.294803,103.8046095
4250,51 Lorong 6 Toa Payoh,51 Lorong 6 Toa Payoh,1982,7760 sqft,1,2,"S$ 280,000 ",S$ 36.08 psf,99-year Leasehold,HDB Apartment,1.33758,103.85179
4251,104 Bedok North Avenue 4,104 Bedok North Avenue 4,1976,979 sqft,2,3,"S$ 395,000 ",S$ 403.47 psf,99-year Leasehold,HDB Apartment,1.33668,103.9487
4252,107B Edgefield Plains,107B Edgefield Plains,2001,1184 sqft,2,3,"S$ 455,000 ",S$ 384.29 psf,99-year Leasehold,HDB Apartment,1.39545,103.90626
4253,40 Cairnhill Road,The Laurels @ Cairnhill Road,2013,883 sqft,2,2,"S$ 2,850,000 ","S$ 3,227.63 psf",Freehold,Condominium,1.3047659999999999,103.837905
4254,2 Kovan Rise,Kovan Regency,2016,624 sqft,8,2,"S$ 870,000 ","S$ 1,394.23 psf",99-year Leasehold,Condominium,1.363041,103.8857535
4255,615 Choa Chu Kang Street 62,615 Choa Chu Kang Street 62,1994,1111 sqft,2,3,"S$ 390,000 ",S$ 351.04 psf,99-year Leasehold,HDB Apartment,1.400895,103.74489
4256,49 Jurong East Avenue 1,Parc Oasis,1995,1227 sqft,3,3,"S$ 1,148,000 ",S$ 935.62 psf,99-year Leasehold,Condominium,1.343682,103.7328435
4257,Jiak Kim Street,Riviere,99-year Leasehold,1216 sqft,2,3,"S$ 3,293,000 ","S$ 2,708.06 psf",Condominium,New Project: 2023,1.2911487793,103.8349983883
4258,480 Guillemard Road,480 Guillemard Road,2020,"5595 sqft, 2756 sqft (land)",7,6,"S$ 6,100,000 ","S$ 2,213.35 psf",Freehold,Detached House,1.3111053844,103.8851837341
4259,18 Nassim Hill,The Nassim,2015,4198 sqft,5,4,"S$ 15,200,000 ","S$ 3,620.77 psf",Freehold,Condominium,1.3061900522,103.8226900628
4260,79 Pasir Ris Grove,Livia,2011,915 sqft,2,2,"S$ 855,000 ",S$ 934.43 psf,99-year Leasehold,Condominium,1.372797,103.9443075
4261,7 Anthony Road,Orchard Scotts,2007,2228 sqft,5,4,"S$ 3,500,000 ","S$ 1,570.92 psf",99-year Leasehold,Condominium,1.3096619999999999,103.838445
4262,635 Jurong West Street 65,635 Jurong West Street 65,2000,1184 sqft,2,3,"S$ 420,000 ",S$ 354.73 psf,99-year Leasehold,HDB Apartment,1.342791,103.698396
4263,72 Pasir Ris Street,Whitewater,2005,1151 sqft,2,3,"S$ 838,000 ",S$ 728.06 psf,99-year Leasehold,Executive Condominium,1.36283,103.96139
4264,5000N Marine Parade Road,Lagoon View,1977,1647 sqft,3,3,"S$ 1,680,000 ","S$ 1,020.04 psf",99-year Leasehold,Apartment,1.310715,103.933971
