Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
2011,1916.0,3,3,2807.93,Condo,1.306575,103.837797
2017,646.0,1,1,2631.58,Condo,1.299159,103.857858
2016,893.0,2,3,1511.76,Condo,1.3635540000000002,103.885362
1996,1496.0,3,4,353.61,HDB,1.380141,103.7372175
1994,1140.0,3,3,692.98,Condo,1.413414,103.835268
2016,538.0,2,2,2267.66,Condo,1.301049,103.848039
2004,1690.0,4,4,1656.8,Condo,1.266525,103.81656600000001
2013,430.0,1,1,1441.86,Condo,1.360998,103.878765
1970,721.0,1,2,388.35,HDB,1.3344799999999999,103.85108000000001
1995,1259.0,2,3,387.61,HDB,1.43624,103.79215
2004,2141.0,4,4,1447.92,Condo,1.353132,103.86275400000001
2013,1205.0,2,3,414.94,HDB,1.423125,103.847499
1993,1539.0,2,4,318.32,HDB,1.39172,103.74311
1999,1399.0,2,2,413.87,HDB,1.341972,103.698891
1990,1119.0,2,3,355.67,HDB,1.374615,103.872573
2016,1345.0,3,4,1003.72,Condo,1.395794644,103.87920386409999
2008,657.0,1,1,1788.43,Condo,1.280772,103.8526605
1977,721.0,2,2,374.48,HDB,1.380474,103.755213
2008,667.0,1,1,1994.0,Condo,1.280772,103.8526605
2005,2260.0,3,3,862.83,Condo,1.32228,103.91135
2006,979.0,2,3,457.61,HDB,1.40246,103.90686
1996,1012.0,2,2,1620.55,Condo,1.30066,103.83736999999999
2010,2626.0,4,4,1466.11,Condo,1.28626,103.84244
1984,742.0,1,2,458.22,HDB,1.359441,103.94608050000001
2016,2411.0,3,4,3131.15,Condo,1.29498,103.85658000000001
2010,2379.0,4,4,3026.48,Condo,1.279647,103.8549735
